# Label Name RGB Alpha
# Detailed description about color table at
# http://www.slicer.org/slicerWiki/index.php/Documentation/4.0/Modules/Colors
# Regina Kim
148 Right_MPoG_postcentral_gyrus_medial_segment 122 135 50 255
150 Right_MPrG_precentral_gyrus_medial_segment 135 50 74 255
152 Right_MSFG_superior_frontal_gyrus_medial_segment 218 112 214 255
154 Right_MTG_middle_temporal_gyrus 240 230 140 255
156 Right_OCP_occipital_pole 255 255 0 255
158 Right_OFC_orbitofrontal_cortex 255 110 180 255
160 Right_OFuG_occipital_fusiform_gyrus 0 255 255 255
162 Right_OpIFG_opercular_part_of_the_inferior_frontal_gyrus 100 50 100 255
68 Right_Operculum 60 58 210 255
164 Right_OrIFG_orbital_part_of_the_inferior_frontal_gyrus 178 34 34 255
166 Right_PCgG_posterior_cingulate_gyrus 255 0 255 255
168 Right_PCu_precuneus 39 64 139 255
170 Right_PHG_parahippocampal_gyrus 255 99 71 255
172 Right_PIns_posterior_insula 255 69 0 255
174 Right_PO_parietal_operculum 210 180 140 255
178 Right_POrG_posterior_orbital_gyrus 74 155 60 255
180 Right_PP_planum_polare 255 215 0 255
184 Right_PT_planum_temporale 46 139 87 255
55 Right_Pallidum 12 48 255 255
176 Right_PoG_postcentral_gyrus 0 255 127 255
182 Right_PrG_precentral_gyrus 238 0 0 255
57 Right_Putamen 236 13 176 255
186 Right_SCA_subcallosal_area 238 201 0 255
188 Right_SCLC_supracalcarine_cortex 102 205 170 255
190 Right_SFG_superior_frontal_gyrus 255 218 185 255
192 Right_SMC_supplementary_motor_cortex 238 130 238 255
194 Right_SMG_supramarginal_gyrus 255 165 0 255
196 Right_SOG_superior_occipital_gyrus 255 192 203 255
198 Right_SPL_superior_parietal_lobule 245 222 179 255
200 Right_STG_superior_temporal_gyrus 208 32 144 255
202 Right_TMP_temporal_pole 34 139 34 255
206 Right_TTG_transverse_temporal_gyrus 0 0 128 255
59 Right_Thalamus_Proper 0 118 14 255
204 Right_TrIFG_triangular_part_of_the_inferior_frontal_gyrus 127 255 212 255
61 Right_Ventral_DC 165 42 42 255
63 Right_vessel 160 32 240 255
1 Unlabeled 0 0 0 255
74 Vitamin_E_Tablet 236 217 151 255
98 YELLOW 255 255 0 255
2 aals 50 205 50 255
3 ahls 255 160 122 255
86 anterior_occipital 0 160 96 255
5 calcarine 127 255 212 255
6 central 238 0 0 255
7 central_insular 200 160 223 255
90 central_vermal_sulcus 160 17 159 255
8 cingulate 34 139 34 255
9 circular 208 32 144 255
10 collateral 173 255 47 255
12 first_transverse 240 230 140 255
80 frontomarginal 160 32 240 255
14 inferior_frontal 50 205 50 255
81 inferior_rostral 255 99 35 255
82 inferior_temporal 255 0 255 255
91 inferior_vermal_sulcus 25 161 161 255
16 intraparietal 176 48 96 255
85 lateral 67 68 217 255
18 lateral_occipital 245 222 179 255
83 lateral_orbital 255 165 0 255
92 lateral_vermal_sulcus 157 29 29 255
87 lhos 188 210 238 255
88 mhos 238 92 66 255
19 occ_temporal 205 91 69 255
20 olfactory 255 192 203 255
22 pals 255 160 122 255
21 par_occipital 238 130 238 255
24 phls 176 48 96 255
25 postcentral 238 201 0 255
26 precentral 218 112 214 255
17 primary_inter 95 158 160 255
27 subparietal 250 128 114 255
28 superior_frontal 255 62 150 255
84 superior_rostral 0 206 209 255
29 superior_temporal 255 0 0 255
89 superior_vermal_sulcus 102 153 49 255
93 thos 157 29 29 255
230 blood 238 21 64 255
255 UNKNOWN 224 224 224 255
